Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
calcium fluoride (CaF2) (single xtal),9.623,2.59,1167,3.711,5976.0,3180.0,16.85907,86.161865
silicon carbide (SiC) (single xtal),87.864,40.4,678,2.176,13826.0,3210.0,74.56366,58.15515
nickel alloy inconel (wrought  annld),13.305,3.48,452,3.828,7136.0,8470.0,50.737,41.254272
steel stainless ha (cast),29.288,7.56,502,3.875,10655.0,7720.0,49.410034,20.398438
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
titanium alloy (Ti Bal Al4 Cu2 Zr2),9.205,3.76,544,2.448,4746.0,4500.0,74.776855,58.700317
nickel oxide (NiO) (polyxtal  68-74 d),9.832,3.26,603,3.015,5442.0,5000.0,44.843628,66.67346
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
thorium carbide (ThC) (80 pc dense),8.786,6.03,172,1.462,3579.0,8500.0,56.323853,60.1073
kaolin brick,0.251,0.75,774,0.333,289.0,430.0,52.51068,43.46985
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
nickel alloy 330 (Ni99.55) (annealed),60.668,14.9,460,4.071,15719.0,8850.0,35.901306,14.4552
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
teak wood (across grain),0.142,0.12,2301,1.243,420.0,540.0,54.58264,60.808594
bromine (gas),0.005,2.59,234,0.002,3.0,7.59,51.926758,38.58423
calcium titanate (cao.tio2),4.602,1.54,728,2.985,3706.0,4100.0,50.302917,74.58948
tungsten titanium carbide km,59.831,12.3,377,4.863,17049.0,12900.0,24.586609,22.138062
tungsten titanium carbide k81,42.677,9.77,377,4.373,13654.0,11600.0,34.56952,15.635132
vanadium carbide (VC),36.401,12.5,519,2.906,10284.0,5600.0,50.457886,30.888672
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
deuterium,0.14,110.0,7113,0.001,13.0,0.18,56.83777,62.888306
bronze silicon low,54.392,16.5,377,3.299,13388.0,8750.0,38.07483,25.615479
nylon 6  11  66  610 (polycaprolactam),0.243,0.14,1527,1.71,644.0,1120.0,48.951477,63.47583
teflon reinforced,0.414,0.21,975,1.94,896.0,1990.0,46.959778,65.56384
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
ammonia (NH3) (gas)  (25 °C),0.025171,16.77,2162,0.002,103.0,0.694,52.67871,44.875732
boron,2.092,0.74,1130,2.825,2431.0,2500.0,39.54193,72.12256
polysulfone,0.259,0.17,1255,1.569,638.0,1250.0,50.19055,60.5885
cobalt alloy j-1570,10.042,2.86,418,3.511,5941.0,8400.0,49.50049,47.212036
iron grey cast pearlitic (4.12 c),79.496,24.0,460,3.307,16218.0,7190.0,37.125305,39.159668
nickel alloy (Ni35 Cr20 Fe45),12.97,3.55,460,3.657,6889.0,7950.0,51.157715,41.932373
cork ground regranulated,0.045,0.17,2008,0.261,108.0,130.0,53.160156,48.90454
bronze  tin (cast) high leaded,41.84,12.1,377,3.468,12040.0,9200.0,38.84027,22.095337
titanium carbide cermet k163b1,19.665,5.74,544,3.427,8209.0,6300.0,48.757446,36.810425
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
nickel alloy monel (hot-rolled),22.677,5.96,431,3.808,9293.0,8835.0,46.053406,27.588867
spruce wood (with grain),0.23,0.45,1255,0.515,344.0,410.0,52.890747,46.65039
datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,2.253,752.0,1795.0,43.8761,68.58154
xenon,0.006,6.27,159,0.001,2.0,5.887,51.829407,37.769897
ytterbium,8.368,8.05,149,1.043,2949.0,7000.0,61.97052,60.213013
melamine  cellulose filled (mst 95-205),0.314,0.13,1674,2.427,873.0,1450.0,47.13202,66.579346
diatomaceous earth brick (high burn),0.226,0.48,795,0.469,326.0,590.0,52.70984,45.13672
phosphorus (white),4.184,3.1,741,1.349,2375.0,1820.0,57.009705,52.5719
acetone (propanone) (25 °C),0.1535,0.09128,2129,1.682,46.0,790.0,53.73059,61.740112
calcium oxide (CaO) (pressed  91 dens),13.807,6.05,753,2.282,5613.0,3030.0,73.255554,55.16919
silicone foam  flexible (lrl),0.167,0.5,1339,0.335,237.0,250.0,52.702393,45.07373
titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,2.395,5105.0,4580.0,76.65283,56.16931
polyvinyl alcohol,0.795,0.51,1255,1.569,1117.0,1250.0,50.66687,60.248047
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
steel alloy 8620 (cast),46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
silicon nitride (Si3N4) (70 pc dense),1.548,1.02,690,1.518,1533.0,2200.0,54.761353,56.70862
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
granite (high k),3.975,1.79,837,2.218,2969.0,2650.0,50.83899,64.283936
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
diatomaceous earth brick (use to 850c),0.092,0.26,795,0.35,179.0,440.0,52.5448,43.755005
zirconium silicate (ZrO2.SiO2) (single crystal),4.184,1.67,544,2.502,3235.0,4600.0,58.854797,61.56433
silicon boride (SiB4),9.832,3.82,1046,2.573,5030.0,2460.0,46.157288,69.721924
phenoxy,0.176,0.08,1674,2.093,606.0,1250.0,47.349,66.42029
steel stainless ca15 ca40 (cast),25.104,7.17,460,3.501,9376.0,7610.0,48.815796,26.786987
tatb h.e. (triamino-trinitro-benzene),0.799,0.41,1047,1.968,1254.0,1880.0,46.918823,65.53906
nitric acid,0.29,0.096,2000,3.02,935.9,1510.0,50.48651,68.91101
magnesium alloy az91c(ac) (casting),54.392,29.3,1025,1.855,10045.0,1810.0,64.92053,53.550903
beryllium,184.1,54.1,1841,3.402,25027.0,1848.0,54.616272,61.090576
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
pyrophyllite (parallel to bedding),4.77,2.04,837,2.344,3343.0,2800.0,52.067932,64.82678
aniline,0.17,0.08,2140,2.185,609.4,1021.0,52.504578,62.911743
niobium alloy (Nb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,2.194,1484.0,2760.0,44.355774,65.12134
particle board (low density),0.078,0.1017,1300,0.312,590.0,240.0,52.67285,44.82666
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
lx-10 h.e. (hmx 95 viton a 5),0.515,0.26,1056,1.964,1005.0,1860.0,46.772766,65.69043
diatomaceous earth brick (molded frd),0.243,0.5,795,0.485,343.0,610.0,52.7323,45.32422
hafnium boride (HfB2),41.84,14.9,251,2.811,10845.0,11200.0,26.500427,42.13745
terbium,8.368,5.56,182,1.502,3549.0,8250.0,55.839355,60.4375
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
diatomaceous earth brick (accr strata),0.088,0.25,795,0.35,175.0,440.0,52.54486,43.755615
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
zinc-aluminum alloy astm 23,112.97,40.9,418,2.759,17662.0,6600.0,52.557983,57.287598
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,4.443,9247.0,3540.0,10.893372,82.321655
potassium chromate (K2O.2CrO3) (s axis),2.092,0.85,921,2.468,2272.0,2680.0,43.811157,67.45813
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
tritium (gas),0.096,75.4,4728,0.001,11.0,0.27,54.616272,61.090576
titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
nickel alloy monel s (cast),19.665,5.36,439,3.67,8498.0,8360.0,47.447327,31.490234
beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,2.988,8368.0,2100.0,16.530396,76.5509
ytterbium,8.368,8.05,149,1.043,2949.0,7000.0,61.97052,60.213013
nickel alloy multimet (n-155) (low c),16.318,4.57,435,3.574,7637.0,8215.0,47.866028,36.110718
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
cobalt alloy wi-52 (cr coated sample),19.665,5.6,418,3.511,8313.0,8400.0,45.390137,32.598145
tungsten carbide cermet k92,74.057,25.7,209,2.884,14622.0,13800.0,23.63562,49.608765
xenon,0.006,6.27,159,0.001,2.0,5.887,51.829407,37.769897
bronze architectural,121.34,37.9,377,3.205,19708.0,8500.0,42.37445,51.254883
aluminum alloy (Al98.5 cast or tempd),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
nickel oxide (NiO) (polyxtal  68-74 d),9.832,3.26,603,3.015,5442.0,5000.0,44.843628,66.67346
magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2.444,2999.0,2920.0,48.074646,65.91101
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
silicone rubber (medium k),0.335,0.21,1255,1.632,739.0,1300.0,49.662598,61.513916
steel stainless 321 and 347,13.807,3.79,460,3.643,7094.0,7920.0,50.89209,40.307983
lx-09 h.e. (hmx 93 dnpa 4.6  fefo 2.4),0.515,0.27,1056,1.943,1000.0,1840.0,46.937622,65.45471
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
steel alloy 8620 (cast),46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
mica (single crystal) (a or b axes),4.184,1.79,837,2.344,3131.0,2800.0,50.46338,65.2771
bronze  phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
magnesite brick spall res (MgO 89),3.473,1.55,837,2.235,2785.0,2670.0,50.114807,64.826416
tantalum alloy (Ta98 Cu0.7 Zr0.7),41.84,18.2,138,2.299,9811.0,16660.0,36.07245,44.662598
deuterium,0.14,110.0,7113,0.001,13.0,0.18,56.83777,62.888306
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
potassium chloride (KCl) (sylvite xtal),6.987,5.12,686,1.365,3089.0,1990.0,58.33612,51.59021
soda-lime glass,1.339,0.77,753,1.732,1523.0,2300.0,52.023438,61.159424
carbon monoxide  (25 °C),0.024896,21.135,1042,0.001,114.0,1.1303,51.720093,36.85486
cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,3.599,6724.0,8610.0,48.17047,42.554077
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
polyvinylidene chloride,0.126,0.06,1339,2.276,535.0,1700.0,43.987427,68.60474
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
mahogany wood (across grain),0.13,0.1,2301,1.243,401.0,540.0,54.58307,60.812134
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
diatomaceous earth brick (use to 1100C),0.222,0.47,795,0.477,325.0,600.0,52.72113,45.231323
zirconium silicate (ZrO2.SiO2) (100 d),6.276,2.51,544,2.502,3963.0,4600.0,66.58008,60.346558
vermiculite insulating powder,0.121,0.54,837,0.226,166.0,270.0,52.374756,42.33252
potassium chloride (KCl 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
manganese,6.694,1.88,481,3.559,4882.0,7400.0,48.09491,58.02478
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
uranium oxide + mo (UO2 80 vol) (94 d),18.41,5.5,335,3.35,7850.0,10000.0,32.674927,40.141235
silver (liquid),251.04,93.5,289,2.688,25962.0,9300.0,57.473206,62.506226
lawrencium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
steel stainless 17-7ph,16.736,6.58,335,2.546,6525.0,7600.0,39.222412,51.47937
magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,2.31,3334.0,2760.0,51.388794,64.65918
aluminum alloy (Al99.2 cast or tempd),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,1.288,4952.0,1620.0,66.49756,49.626953
fluorocarbons fep,0.251,0.1,1172,2.578,805.0,2200.0,41.2442,69.95349
chalk (avg prop),0.837,0.59,921,1.418,1089.0,1540.0,52.722168,56.950684
magnesium alloy zw1(x) (zk11) (wrought),133.89,72.6,1025,1.845,15717.0,1800.0,64.875,66.17407
talc,2.971,1.31,816,2.277,2600.0,2790.0,48.52124,64.960815
nickel oxide (NiO) (single xtal),46.024,11.2,603,4.106,13742.0,6810.0,40.8385,12.169067
steel stainless hh hl hk (cast),18.828,4.85,502,3.88,8548.0,7730.0,51.532227,32.997192
torlon (PAI),0.54,0.381,970,1.416,875.0,1460.0,52.438354,57.181152
polyvinyl chloride  flexible,0.167,0.07,1674,2.511,648.0,1500.0,47.075012,66.62134
steel high speed (m1  m10  m-2  ti),35.564,9.42,460,3.772,11585.0,8200.0,46.30139,16.13379
molybdenum,133.89,53.2,247,2.519,18363.0,10200.0,53.744385,61.038086
iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,3.542,7100.0,7700.0,50.428955,39.693848
magnesium alloy magnox a12(x) (wrought),117.15,65.3,1025,1.794,14496.0,1750.0,64.124084,64.66443
germanium (intrinsic  p-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
cobalt alloy hs-25 (l-605) (wrought),9.205,2.61,385,3.523,5694.0,9150.0,45.161682,50.039673
carbon graphite (typical k),167.36,105.0,707,1.591,16318.0,2250.0,65.975525,63.776733
aluminum nitride (AlN) (prs axis  98 d),35.146,15.0,732,2.342,9075.0,3200.0,90.75043,38.433105
nickel alloy hastelloy c,10.46,3.04,385,3.442,5999.0,8940.0,43.436096,47.8573
aluminum alloy (Al96.0 wrot or annld),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
isooctane (25 °C),0.09461,0.06577,2091,1.439,24.0,688.0,54.322327,61.296753
zinc oxide (ZnO),27.196,9.78,494,2.781,8694.0,5630.0,57.025208,37.184326
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
nickel alloy nimonic 75,12.97,3.38,460,3.841,7060.0,8350.0,51.28601,42.075806
nickel alloy incoloy,12.134,3.35,452,3.621,6627.0,8010.0,50.98987,43.430298
rubber natural,0.138,0.07,2092,1.946,518.0,930.0,52.418213,62.702637
polonium,1.674,1.48,121,1.128,1376.0,9320.0,59.701294,57.1239
deuterium oxide (D2O) (liquid),0.561,0.12,4205,4.626,1610.0,1100.0,29.637451,89.082886
epoxy  glass fiber filled (molded),0.167,0.11,795,1.511,503.0,1900.0,51.418457,58.902344
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
aluminum oxide + cr (Al2O3 70  cr 30),9.205,2.49,628,3.705,5838.0,5900.0,37.612366,64.14319
phenolic cast asbestos filler,0.351,0.17,1255,2.134,866.0,1700.0,45.119385,67.47766
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
polystyrene (modified),0.084,0.06,1339,1.446,348.0,1080.0,51.29724,58.84912
ammonium chloride (NH4Cl),2.51,0.98,1678,2.567,2539.0,1530.0,43.984375,67.57605
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
aluminum alloy (Al96.0 wrot or annld),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
magnesium oxide (MgO) (polyxtal 100 d),61.923,18.8,921,3.297,14285.0,3580.0,28.138489,33.377808
aluminum oxide foam (Al2O3),0.042,0.11,778,0.389,128.0,500.0,52.597595,44.197144
melamine asbestos filled (mst 95-205),0.628,0.2,1674,3.097,1394.0,1850.0,44.641174,71.218994
bronze silicon high,33.472,10.4,377,3.216,10369.0,8530.0,39.93817,30.398438
tin,61.086,37.0,226,1.652,10044.0,7310.0,75.99078,62.229004
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
aluminum nitride (AlN) (prs axis  98 d),35.146,15.0,732,2.342,9075.0,3200.0,90.75043,38.433105
manganese silicide (MnSi2),7.197,2.34,586,3.071,4700.0,5240.0,38.12549,71.637085
steel  stainless 446,22.928,6.56,460,3.496,8955.0,7600.0,49.14453,28.737549
silver (liquid),251.04,93.5,289,2.688,25962.0,9300.0,57.473206,62.506226
aluminum alloy 7079,121.34,55.7,795,2.178,16258.0,2740.0,63.613525,65.54883
neoprene rubber,0.192,0.07,2176,2.72,724.0,1250.0,53.288025,65.98584
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
radium,12.552,22.1,113,0.565,2668.0,5000.0,73.968445,54.80945
sand northway (H2O 4-10) (avg prop),0.837,0.59,837,1.423,1091.0,1700.0,53.05713,56.660767
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
chrome brick (Cr2O3 32),1.172,0.58,628,2.01,1534.0,3200.0,49.986572,63.998413
titanium alloy hylite 50 (imi550),7.531,3.13,523,2.406,4257.0,4600.0,71.210754,60.398438
silicon carbide (SiC) (nitride bonded),41.84,23.2,678,1.803,8685.0,2660.0,87.13611,52.558838
plutonium carbide (PuC) (arcm or cast),7.113,2.86,184,2.484,4204.0,13500.0,47.529358,34.00537
ruthenium,104.6,36.6,234,2.855,17291.0,12200.0,29.314514,52.53369
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
hydrogen (gas),0.186,145.0,14230,0.001,15.0,0.0899,81.98407,83.23926
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
tin,61.086,37.0,226,1.652,10044.0,7310.0,75.99078,62.229004
magnesium alloy a8(ac or st) (casting),83.68,45.1,1025,1.855,12460.0,1810.0,61.331116,60.92163
quartz flour fine (dry),0.167,0.26,745,0.656,331.0,880.0,52.970825,47.32019
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
manganese selenide (97mnse.3lise),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
niobium nitride (Nb2N),7.95,2.97,322,2.676,4614.0,8310.0,43.031555,48.93701
uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,2.291,1116.0,8300.0,73.82861,46.47119
silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,2.102,18752.0,3100.0,64.958496,66.215454
steel stainless hu (cast),15.481,4.19,460,3.694,7564.0,8030.0,50.440063,37.21924
datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,2.253,752.0,1795.0,43.8761,68.58154
window glass - lime,1.318,0.71,753,1.867,1569.0,2480.0,50.49951,63.45166
gasoline,0.151,0.09,2100,1.575,488.0,750.0,53.947876,61.58081
nickel alloy hastelloy a (annealed),9.623,2.78,393,3.458,5771.0,8800.0,45.451477,48.91638
platinum,69.036,24.1,134,2.868,14065.0,21400.0,33.46393,51.32129
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
titanium alloy (Ti Bal  Cr3.4  Mo2.1),16.318,6.78,523,2.406,6266.0,4600.0,81.62073,48.135254
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
steel stainless hc hd (cast),30.962,8.17,502,3.79,10834.0,7550.0,49.207275,19.713013
manganese oxide (Mn3O4) (87 pc dense),4.184,1.59,628,2.638,3321.0,4200.0,56.515625,63.897827
tungsten titanium carbide k86  k7h  k3h,28.033,6.71,377,4.185,10825.0,11100.0,38.653076,23.232788
vegetable oil,0.15,0.0833,2000,1.8,519.7,900.0,51.978516,63.025146
melamine  cellulose filled (mst 95-205),0.314,0.13,1674,2.427,873.0,1450.0,47.13202,66.579346
gallium (liquid),33.472,13.8,399,2.43,9015.0,6090.0,52.002502,48.615967
magnesium alloy ek30a  h812 (casting),104.6,57.0,1025,1.835,13853.0,1790.0,62.950012,63.406372
uranium alloy (U95  Zr5),18.828,8.57,126,2.205,6430.0,17500.0,47.44232,36.522827
copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,3.355,9908.0,8900.0,39.08972,29.79004
rubidium (liquid),29.288,51.6,385,0.568,4078.0,1475.0,61.05951,39.238525
siliceous fireclay brick (23 p),1.088,0.72,753,1.506,1280.0,2000.0,53.56659,57.36133
n-hexadecane (cetane)  (25 °C),0.14385,0.08444,2212,1.703,42.0,770.0,54.568115,61.125854
rhodium,150.62,50.1,243,3.013,21291.0,12400.0,38.556824,62.48523
zinc alloy astm b69,107.53,38.3,393,2.806,17377.0,7140.0,51.17511,54.7323
ammonium chloride (NH4Cl),2.51,0.98,1678,2.567,2539.0,1530.0,43.984375,67.57605
iron nodular cast ferritic base,37.656,11.4,460,3.312,11170.0,7200.0,48.705444,22.065308
titanium alloy (Ti Bal  Al4  Mo3  V1),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
magnesium alloy 1992 (Mg Ce4.45 Co3),129.7,77.5,962,1.674,14737.0,1740.0,64.80682,63.430786
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
magnesium alloy az31b(p s) (wrought),83.68,47.1,1004,1.777,12195.0,1770.0,61.335632,59.836792
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
vanadium carbide (VC),36.401,12.5,519,2.906,10284.0,5600.0,50.457886,30.888672
tungsten titanium carbide k84,53.137,12.1,377,4.411,15301.0,11700.0,30.36206,18.942749
uranium alloy (U90 Mo10),12.343,5.34,134,2.312,5339.0,17250.0,49.22876,33.410156
copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,3.355,9908.0,8900.0,39.08972,29.79004
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
lithium nickel oxide (5LiO.95NiO),13.18,2.81,711,4.693,7866.0,6600.0,35.148865,56.82068
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
thorium,38.493,28.1,117,1.367,7259.0,11680.0,63.12146,63.5791
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
zirconium oxide (Y2O3 12  Zr 8) (97 d),2.469,1.02,439,2.415,2442.0,5500.0,52.84088,67.8186
window glass - lime,1.318,0.71,753,1.867,1569.0,2480.0,50.49951,63.45166
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
mercury (liquid),8.368,4.49,138,1.863,3950.0,13500.0,59.61566,35.237305
rubber  dielectric mix,0.209,0.09,2092,2.301,694.0,1100.0,52.006958,63.57715
silicon carbide (SiC) (nitride bonded),41.84,23.2,678,1.803,8685.0,2660.0,87.13611,52.558838
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
thallium (liquid),24.686,14.5,151,1.705,6479.0,11290.0,50.02942,50.265625
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
silicon carbide + si (SiC 76 Si 24),60.668,29.0,837,2.093,11266.0,2500.0,73.66437,52.43225
nickel alloy monel 400,25.941,6.69,439,3.876,10031.0,8830.0,46.18445,23.559326
obsidian glass,1.372,0.76,753,1.807,1575.0,2400.0,51.23877,62.403687
cobalt alloy multimet (n-155) (low c),16.318,4.57,435,3.574,7637.0,8215.0,47.866028,36.110718
copper alloy (110),390.0,113.0,385,3.43,36576.0,8910.0,54.616272,61.090576
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2.487,2698.0,2700.0,45.831482,67.52222
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
uranium plutonium oxide (4UO2.PuO2),7.615,2.73,264,2.798,4613.0,10600.0,41.180054,41.47339
iron  wrought (various),58.576,16.5,460,3.542,14407.0,7700.0,40.75049,18.61023
decane,0.15,0.1027,2000,1.46,468.1,730.0,53.65265,61.51831
