Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
fused quartz silica glass (SiO2),1.381,0.84,745,1.639,1504.0,2200.0,53.05121,59.358276
titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,2.395,5105.0,4580.0,76.65283,56.16931
boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,1.67,6943.0,2100.0,76.80676,52.392944
indium,23.43,13.5,239,1.745,6387.0,7300.0,67.104065,60.7782
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
mica insulating powder,0.121,0.44,837,0.276,183.0,330.0,52.44635,42.93213
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
cesium,41.84,97.2,230,0.43,4243.0,1870.0,53.756958,22.571533
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
tungsten carbide cermet ca4 tool steel,112.97,38.6,209,2.926,18190.0,14000.0,23.205688,55.236084
magnesium alloy (Mg Ag2.5 Ce2 Zr0.6),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
air,0.025,19.4,1004,0.001,6.0,1.29,51.73767,37.001953
nickel alloy durimet 20 (cast),20.92,5.74,460,3.643,8732.0,7920.0,48.99524,29.876465
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
magnesium alloy az63a (ac f) (casting),71.128,37.8,1025,1.881,11566.0,1835.0,63.216858,57.37561
iridium,146.44,50.2,130,2.925,20672.0,22500.0,20.622742,69.91516
calcium,125.52,123.0,657,1.018,11305.0,1550.0,59.453247,42.61792
strontium titanate + co (co 40),10.46,3.16,502,3.313,5888.0,6600.0,46.92871,50.335815
mica (single crystal) (a or b axes),4.184,1.79,837,2.344,3131.0,2800.0,50.46338,65.2771
vanadium boride (vb2),56.902,17.0,661,3.351,13810.0,5070.0,40.255676,23.083862
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,3.096,11665.0,3980.0,50.59015,30.272095
glass (avg prop),1.046,0.54,837,1.925,1419.0,2300.0,48.67639,64.5249
uranium alloy mulberry,10.46,4.33,146,2.409,5027.0,16500.0,48.12195,32.925293
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,3.299,15399.0,8750.0,34.487732,36.70862
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
uranium carbide (UC) (sintered 90d),17.364,6.96,203,2.497,6583.0,12300.0,33.9588,37.524048
zirconium silicate (ZrO2.SiO2) (single crystal),4.184,1.67,544,2.502,3235.0,4600.0,58.854797,61.56433
diatomaceous earth brick (use to 850c),0.092,0.26,795,0.35,179.0,440.0,52.5448,43.755005
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
lx-10 h.e. (hmx 95 viton a 5),0.515,0.26,1056,1.964,1005.0,1860.0,46.772766,65.69043
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
mahogany wood (across grain),0.13,0.1,2301,1.243,401.0,540.0,54.58307,60.812134
methane (CH4) (gas),0.034,21.0,2259,0.002,7.0,0.7167,52.69287,44.994263
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
uranium alloy (U98.5 Zr1.5),22.594,10.4,117,2.176,7018.0,18600.0,48.553345,38.471313
epoxy  glass fiber filled (molded),0.167,0.11,795,1.511,503.0,1900.0,51.418457,58.902344
fiberfax paper,0.03,0.13,732,0.237,84.0,324.0,52.377625,42.3562
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
beryllium,184.1,54.1,1841,3.402,25027.0,1848.0,54.616272,61.090576
plutonium alloy (delta phase),7.071,3.35,134,2.111,3862.0,15750.0,59.30963,32.187256
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
nickel alloy hastelloy n and inor-8,10.753,3.08,398,3.498,6130.0,8790.0,46.40692,46.78882
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
potassium,97.069,150.0,753,0.649,7938.0,862.0,56.15039,23.370361
aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,2.327,20219.0,2780.0,63.768738,65.625854
germanium (intrinsic  p-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
nickel alloy monel 403 (hot-rolled),24.811,6.38,439,3.89,9827.0,8860.0,46.355286,24.776001
niobium beryllide (Nb2Be17),31.38,10.7,921,2.947,9614.0,3200.0,49.458496,52.828003
epoxy unfilled cast,0.188,0.15,1046,1.255,486.0,1200.0,53.54608,54.50049
steel stainless he (cast),17.154,3.81,586,4.5,8785.0,7680.0,47.09613,42.452637
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
lead alloy (solder) (Sn37.5 Pb37.5 In25),56.902,27.5,239,2.077,10860.0,8690.0,48.137695,51.69934
granite (low k),1.715,0.77,837,2.218,1950.0,2650.0,46.161865,65.30676
mtbe (methyl tert-butyl ether),0.12,0.0776,2090,1.547,430.8,740.0,53.924866,61.597656
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
indium telluride (In2Te3),1.255,1.35,201,0.93,1080.0,4629.0,54.614258,54.670166
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,4.443,9247.0,3540.0,10.893372,82.321655
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
boron nitride (Bn 80 C 20) (prs axis),19.037,14.8,795,1.288,4952.0,1620.0,66.49756,49.626953
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
siliceous brick (SiO2 89  Al2O3 9),0.937,0.65,753,1.453,1167.0,1930.0,53.67401,56.651
silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,2.102,18752.0,3100.0,64.958496,66.215454
chloroform,0.13,0.0891,980,1.459,435.5,1489.0,51.589783,58.275024
brick masonry medium,0.711,0.43,837,1.674,1091.0,2000.0,50.564087,61.379272
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
nickel alloy waspalloy,11.297,3.29,418,3.428,6226.0,8200.0,48.330322,45.089966
polyethylene (low density),0.331,0.17,2092,1.925,798.0,920.0,52.611023,62.56128
deuterium oxide (D2O) (liquid),0.561,0.12,4205,4.626,1610.0,1100.0,29.637451,89.082886
gold (liquid),167.36,65.4,149,2.569,20699.0,17240.0,32.28009,68.82666
melamine asbestos filled (mst 95-205),0.628,0.2,1674,3.097,1394.0,1850.0,44.641174,71.218994
potassium aluminum silicate (orthoclase),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
cobalt oxide (CoO),10.042,2.21,703,4.541,6753.0,6460.0,33.870422,61.610962
forsterite ceramics,5.0,2.137,780,2.34,3420.0,3000.0,56.26642,63.779907
marble dielectric (CaCO3 99.99),3.766,1.59,879,2.373,2989.0,2700.0,49.59131,65.880615
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
water (H2O) (liquid),0.60652,0.14548,4181,4.169,231.0,997.05,35.921875,86.29053
iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,2.531,3983.0,5700.0,58.652283,66.96509
lithium aluminum silicate (b-spodumene),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
nickel alloy nimonic ds,14.226,3.91,460,3.639,7196.0,7910.0,50.76947,39.521606
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
magnesium silicide (Mg2Si),7.908,4.8,837,1.649,3611.0,1970.0,59.683655,53.127197
uranium alloy (U90 Mo10),12.343,5.34,134,2.312,5339.0,17250.0,49.22876,33.410156
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
concrete cinder,0.335,0.32,657,1.051,593.0,1600.0,53.527527,51.97876
niobium alloy (Nb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,2.531,3983.0,5700.0,58.652283,66.96509
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
oregon pine wood (across grain),0.113,0.1,2301,1.174,364.0,510.0,54.51117,60.21057
lithium hydride (LiH),7.322,2.5,4184,2.929,4631.0,700.0,18.072388,66.387695
magnesium alloy ze41a(t5 ht) (casting),112.97,64.5,962,1.751,14066.0,1820.0,64.05591,62.93347
oak red black wood (across grain),0.146,0.1,2385,1.455,462.0,610.0,54.616272,61.090576
polyethylene (low density),0.331,0.17,2092,1.925,798.0,920.0,52.611023,62.56128
armco iron,74.0,20.24,850,6.681,22200.0,7860.0,0.0,34.779297
nickel alloy constantan (Ni45 Cu55),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2.184,2600.0,2900.0,50.48578,64.1532
calcium titanate (cao.tio2),4.602,1.54,728,2.985,3706.0,4100.0,50.302917,74.58948
cellulose proprionate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
gold,317.98,129.0,128,2.47,28027.0,19300.0,54.616272,61.090576
uranium oxide (U3O8) (prsd at 100 psi),0.297,0.14,276,2.208,810.0,8000.0,75.80011,48.95752
titanium alloy (Ti Bal Al4 V1 Mo0.6),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
zirconium nitride (ZrN),8.786,3.36,385,2.618,4796.0,6800.0,45.803345,59.444214
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
tungsten titanium carbide k5h,35.564,8.21,377,4.336,12411.0,11500.0,36.872803,17.758423
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
forsterite - magnesium silicate (2MgO.SiO2) (100 pc dense),5.858,2.19,837,2.678,3960.0,3200.0,56.680664,68.404785
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
brass tin (naval and admiralty),112.97,35.5,377,3.189,18972.0,8460.0,40.81848,49.704468
porcelain ordinary,2.092,0.82,753,2.56,2314.0,3400.0,42.199707,66.715576
strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,2.739,4004.0,5110.0,54.131714,62.75354
palladium,76.149,27.5,243,2.77,14515.0,11400.0,28.464111,47.7583
erbium,9.623,6.33,168,1.522,3825.0,9060.0,59.30011,56.457397
magnesium alloy zk20a (wrought),125.52,68.0,1025,1.845,15218.0,1800.0,64.60034,66.037964
silicon carbide + si (SiC 76 Si 24),60.668,29.0,837,2.093,11266.0,2500.0,73.66437,52.43225
magnesium alloy az91c(ac) (casting),54.392,29.3,1025,1.855,10045.0,1810.0,64.92053,53.550903
antimony,18.41,13.3,207,1.386,5053.0,6696.0,64.81433,62.937866
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
tantalum beryllide (ta2be17),29.288,6.67,879,4.395,11343.0,5000.0,23.150696,54.67639
cobalt alloy wi-52 (cr coated sample),19.665,5.6,418,3.511,8313.0,8400.0,45.390137,32.598145
aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,2.327,20219.0,2780.0,63.768738,65.625854
molybdenum selenide (MoSe2),2.301,1.53,301,1.505,1862.0,5000.0,54.813232,61.446045
concrete lightweight,0.209,0.34,657,0.624,361.0,950.0,52.92981,46.977173
gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,2.524,1809.0,2320.0,42.670654,70.20276
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
steel stainless ha (cast),29.288,7.56,502,3.875,10655.0,7720.0,49.410034,20.398438
neodymium boride (NdB6) (97.3 pc dense),47.279,15.7,628,3.014,11934.0,4800.0,48.996826,25.743896
actinium,12.552,9.9,126,1.273,3989.0,10100.0,59.222595,58.096924
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
copper lithium oxide (96CuO.4LiO),15.272,3.62,669,4.215,8025.0,6300.0,39.61731,52.838623
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
ethylene glycol (25 °C),0.2516,0.093989,2412,2.677,77.0,1109.9,59.10663,64.724365
nickel alloy hy mu 80,33.388,8.53,448,3.916,11430.0,8740.0,45.34613,16.700195
propylene (propene),0.11,0.0817,2200,1.346,384.8,612.0,54.616272,61.090576
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,3.307,11766.0,7190.0,47.76648,21.064087
scandium,12.552,7.58,552,1.656,4560.0,3000.0,69.44171,56.348755
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
magnesium alloy 1992 (Mg Ce4.45 Co3),129.7,77.5,962,1.674,14737.0,1740.0,64.80682,63.430786
glass borosilicate crown,1.046,0.62,669,1.686,1328.0,2520.0,52.403687,60.868896
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
nickel alloy hastelloy n and inor-8,10.753,3.08,398,3.498,6130.0,8790.0,46.40692,46.78882
lead alloy (Pb60 Sn40) (solder),47.279,22.3,230,2.116,10004.0,9200.0,40.547424,47.501465
niobium carbide (NbC),33.472,12.4,356,2.706,9511.0,7600.0,38.778748,43.32605
mendelevium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
cellulose proprionate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
phenolic molded (high density  k),0.674,0.18,1255,3.765,1593.0,3000.0,38.253113,81.24426
chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,3.363,6165.0,6700.0,47.40143,48.425293
steel carbon type 1020 (0.2 - 0.6 c),71.128,19.7,460,3.616,16040.0,7860.0,35.53784,27.233398
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
silver alloys sterling and coin,359.82,137.0,251,2.636,30795.0,10500.0,58.657043,63.092773
epoxy  glass fiber filled (molded),0.167,0.11,795,1.511,503.0,1900.0,51.418457,58.902344
silicon nitride (Si3N4) (85 pc dense),7.95,4.11,690,1.932,3920.0,2800.0,58.805298,57.73767
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
vermiculite expanded,0.071,0.43,753,0.166,109.0,220.0,52.27643,41.50952
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
steam (H2O) (gas) (1 atm),0.023,19.9,1966,0.001,5.0,0.598,52.41278,42.651
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,3.326,4569.0,2650.0,23.067444,85.05994
titanium alloy (Ti Bal Zr3 Al2),9.958,4.14,523,2.406,4895.0,4600.0,75.70465,57.392944
titanium carbide cermet k165,17.154,5.53,544,3.101,7293.0,5700.0,45.226685,45.117188
lx-o4-1 h.e. (hmx 85 viton a 15),0.387,0.18,1172,2.186,919.0,1865.0,44.717773,67.9198
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
magnesium alloy hk31a(t6) (casting),92.048,50.2,1025,1.835,12996.0,1790.0,61.835266,61.72107
sandstone (avg prop),2.51,1.13,962,2.213,2357.0,2300.0,47.73529,65.56506
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
fiberfax paper,0.03,0.13,732,0.237,84.0,324.0,52.377625,42.3562
uranium alloy (U98.5 Zr1.5),22.594,10.4,117,2.176,7018.0,18600.0,48.553345,38.471313
epoxy silica filled cast,0.628,0.35,1004,1.807,1065.0,1800.0,48.608643,63.718018
polyvinyl chloride acytate  rigid,0.167,0.12,1004,1.406,485.0,1400.0,52.121277,57.322998
thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,1.465,5986.0,6600.0,66.33411,63.12268
tantalum alloy (Ta89 W9 HF2),40.585,26.0,92,1.559,7958.0,16950.0,55.332336,50.11487
manganese,6.694,1.88,481,3.559,4882.0,7400.0,48.09491,58.02478
titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,2.354,4325.0,4500.0,72.96484,59.731445
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
nickel oxide (nio) (polyxtal  88-100 d),12.97,3.36,603,3.859,7072.0,6400.0,43.290894,53.578613
magnesium alloy a8(ac or st) (casting),83.68,45.1,1025,1.855,12460.0,1810.0,61.331116,60.92163
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
acrylic (high k),0.251,0.15,1423,1.708,655.0,1200.0,48.6037,63.017334
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
ethanol  (25 °C),0.1635,0.085538,2435,1.911,48.0,785.13,55.94684,62.167236
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
francium,12.552,7.35,142,1.704,4630.0,12000.0,58.114136,43.13159
mulberry (U90 Nb7.5 Zr2.5),10.46,4.33,146,2.409,5027.0,16500.0,48.12195,32.925293
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
polystyrene foam,0.026,0.5,1130,0.052,37.0,46.0,52.24939,41.283203
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
zircon porcelain (high k),5.858,2.56,586,2.285,3658.0,3900.0,65.42932,60.52173
aluminum nitride (AlN) (prs axis  98 d),35.146,15.0,732,2.342,9075.0,3200.0,90.75043,38.433105
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
missouri fireclay brick,1.004,0.67,753,1.506,1230.0,2000.0,53.384583,57.503906
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
praseodymium,11.715,8.76,197,1.34,3957.0,6800.0,60.37848,61.90515
mendelevium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
bronze manganese,104.6,33.2,377,3.152,18147.0,8360.0,40.266235,48.012695
aluminum alloy (Al92.0 wrot or annld),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
lithium aluminum silicate (b-spodumene),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
nickel alloy nichrome v (Ni80 Cr20),13.389,3.72,431,3.603,6946.0,8360.0,48.934998,40.953613
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
acrylic (lucite plexiglass),0.152,0.1,1297,1.556,486.0,1200.0,50.170166,60.586548
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
iron ni-resist type 4 (cast),37.656,10.1,502,3.715,11828.0,7400.0,47.440735,15.869385
phenolic cast no filler,0.167,0.09,1464,1.918,567.0,1310.0,46.788147,66.05701
soil loam (H2O 4-27 pc),0.418,0.25,1046,1.674,837.0,1600.0,49.67102,61.885742
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
palladium,76.149,27.5,243,2.77,14515.0,11400.0,28.464111,47.7583
potassium chloride (KCl 50),7.113,4.46,770,1.594,3367.0,2070.0,59.499084,53.13208
bromine (gas),0.005,2.59,234,0.002,3.0,7.59,51.926758,38.58423
boride z cermet (ZrB2 81-87  MoSi2 13),20.92,8.01,502,2.61,7391.0,5200.0,68.8999,42.098755
polystyrene foamed-in-place  (rigid),0.035,0.31,1130,0.113,63.0,100.0,52.332825,41.981934
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
beryllium alloy (Be98.5) (as received),133.89,40.8,1799,3.28,20955.0,1823.0,47.94586,62.29065
copy paper,0.0904,0.08771,1260,1.031,305.0,818.0,53.56891,52.325195
zirconium silicate (ZrO2.SiO2) (100 d),6.276,2.51,544,2.502,3963.0,4600.0,66.58008,60.346558
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
quartz crystal (silicon oxide) a axis (SiO2),6.485,3.25,753,1.995,3598.0,2650.0,55.92505,59.9209
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
lead telluride (PbTe) (polyxtal),2.343,1.91,151,1.232,1697.0,8160.0,55.437805,61.62085
glass (avg prop),1.046,0.54,837,1.925,1419.0,2300.0,48.67639,64.5249
nobelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
uranium oxide + mo (UO2 80 vol) (94 d),18.41,5.5,335,3.35,7850.0,10000.0,32.674927,40.141235
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
molybdenum telluride (mote2),2.008,1.62,226,1.243,1580.0,5500.0,54.644836,58.423096
polymethyl methacrylate (PMMA),0.209,0.12,1464,1.728,601.0,1180.0,48.466797,63.524414
tetryl h.e.,0.286,0.13,1255,2.146,783.0,1710.0,44.92993,67.650635
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
lithium hydride (LiH),7.322,2.5,4184,2.929,4631.0,700.0,18.072388,66.387695
sodium fluoride (NaF),10.502,3.69,1113,2.847,5468.0,2558.0,32.975525,80.184204
osmium,85.772,29.3,130,2.934,15846.0,22570.0,32.535583,56.753662
rubidium chloride (RbCl),2.092,1.73,431,1.207,1589.0,2800.0,53.908997,55.171265
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
neon (gas),0.049,52.4,1029,0.001,7.0,0.8999,51.10852,31.738525
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
bismuth,8.368,7.08,121,1.18,3146.0,9750.0,58.167236,59.446777
tetryl h.e.,0.286,0.13,1255,2.146,783.0,1710.0,44.92993,67.650635
cobalt alloy jessop g-32,14.644,4.24,418,3.453,7114.0,8260.0,46.49774,39.437866
zirconium,31.38,17.0,285,1.853,7618.0,6500.0,78.772095,60.382935
sp-1 polyimide resin (vespel),0.35,0.25,1130,0.85,1430.0,752.0,53.31836,50.228638
colombium alloy (Cb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
fused quartz silica glass (SiO2),1.381,0.84,745,1.639,1504.0,2200.0,53.05121,59.358276
magnesium,150.62,86.2,1004,1.747,16221.0,1740.0,65.56769,66.517334
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
manganese silicide (MnSi2),7.197,2.34,586,3.071,4700.0,5240.0,38.12549,71.637085
nickel alloy duranickel (and -r) (hard),19.665,5.47,435,3.593,8407.0,8260.0,47.166748,31.722656
calcium carbonate (CaCO3) (natural),2.259,1.04,837,2.185,2221.0,2610.0,48.520752,65.16089
zirconium,31.38,17.0,285,1.853,7618.0,6500.0,78.772095,60.382935
sodium chloride (NaCl) (opaque  impure),5.523,2.93,870,1.884,3226.0,2165.0,55.14612,58.877075
steel alloy 8620 (cast),46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
lithium manganese selenide (97mn.3li.-),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
bronze phospher 5 percent,71.128,21.3,377,3.34,15406.0,8860.0,34.12567,35.553955
